Customer ID,Recency,Frequency,Monetary
10001,21,11,3505.12
10002,21,16,3843.3
10003,19,17,3633.45
10004,4,16,2785.08
10005,21,21,4563.03
10006,12,15,4068.95
10007,10,21,5095.18
10008,5,20,5931.77
10009,24,13,3783.01
10010,19,18,5811.3
10011,10,11,3354.81
10012,2,19,3614.35
10013,8,21,5970.41
10014,1,20,4258.61
10015,10,16,3254.3
10016,26,23,5994.01
10017,8,16,3509.07
10018,22,14,3199.21
10019,22,20,5083.35
10020,22,18,4671.61
10021,26,15,3734.99
10022,10,13,3890.24
10023,12,19,5409.85
10024,5,13,3740.98
10025,2,16,4373.41
10026,26,12,3843.65
10027,4,12,2586.08
10028,5,19,5540.42
10029,7,25,6272.0
10030,3,25,5406.91
10031,6,19,5718.86
10032,4,10,2630.02
10033,24,22,5586.69
10034,2,14,3375.5
10035,13,23,5935.6
10036,13,15,4257.72
10037,18,10,2232.86
10038,14,15,3722.17
10039,10,24,7121.91
10040,15,12,2350.03
10041,47,7,768.2
10042,36,5,337.36
10043,27,10,1000.34
10044,16,9,1185.65
10045,11,8,382.2
10046,38,8,1057.66
10047,55,12,1248.61
10048,17,7,853.43
10049,15,5,376.93
10050,28,6,517.5
10051,49,8,866.17
10052,50,7,710.33
10053,27,9,795.24
10054,26,5,283.51
10055,57,11,973.55
10056,52,11,872.64
10057,59,7,527.44
10058,22,5,470.64
10059,53,5,400.53
10060,58,10,980.42
10061,19,7,634.24
10062,17,8,898.72
10063,48,12,1181.98
10064,55,5,427.17
10065,11,7,999.95
10066,37,5,556.95
10067,41,7,869.76
10068,28,6,504.64
10069,14,10,1147.06
10070,23,6,714.08
10071,35,9,609.24
10072,23,10,955.12
10073,55,10,1499.98
10074,25,7,913.44
10075,46,6,379.02
10076,51,6,802.95
10077,15,8,862.57
10078,39,7,617.71
10079,53,9,952.08
10080,37,6,514.92
10081,79,2,123.57
10082,91,3,88.19
10083,117,2,49.99
10084,115,5,183.88
10085,73,4,203.31
10086,112,4,328.77
10087,120,2,181.01
10088,91,3,184.37
10089,133,4,237.34
10090,66,5,211.42
10091,107,5,432.5
10092,133,4,241.29
10093,125,5,203.5
10094,79,3,180.57
10095,151,3,268.14
10096,144,6,323.91
10097,81,5,180.49
10098,141,6,417.1
10099,74,3,242.37
10100,99,3,196.43
10101,64,5,290.36
10102,92,3,220.52
10103,146,4,270.68
10104,122,4,213.87
10105,101,6,380.55
10106,146,4,225.78
10107,72,4,309.1
10108,75,5,140.71
10109,89,6,368.65
10110,65,3,145.36
10111,69,6,452.63
10112,70,5,256.03
10113,88,6,379.02
10114,74,6,293.36
10115,88,4,456.91
10116,82,6,440.15
10117,101,4,211.44
10118,125,3,127.71
10119,78,6,371.87
10120,122,3,273.89
10121,308,2,114.9
10122,246,2,40.56
10123,207,2,58.45
10124,208,2,81.38
10125,347,2,44.34
10126,212,1,10.53
10127,276,1,33.78
10128,157,1,18.71
10129,268,1,45.92
10130,259,1,32.52
10131,209,2,44.25
10132,154,1,16.35
10133,292,2,104.92
10134,180,1,27.69
10135,201,2,51.29
10136,160,1,35.3
10137,279,2,63.56
10138,366,1,59.57
10139,239,2,87.72
10140,310,2,39.68
10141,210,2,38.45
10142,158,1,37.85
10143,178,1,29.19
10144,325,1,15.22
10145,318,2,65.35
10146,304,2,88.36
10147,336,2,112.87
10148,198,1,55.9
10149,213,2,89.54
10150,177,2,87.5
10151,239,1,33.34
10152,253,2,102.99
10153,229,2,92.85
10154,253,2,78.67
10155,244,1,20.54
10156,302,2,25.59
10157,157,2,46.24
10158,163,2,76.89
10159,194,1,17.19
10160,249,2,59.14
